순위,제목,가수,앨범
52,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
53,연애편지,임영웅,IM HERO
54,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
55,아무래도 난,주시크 (Joosiq),아무래도 난
56,보금자리,임영웅,IM HERO
57,사랑역,임영웅,IM HERO
58,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
59,사랑해요 그대를,임영웅,IM HERO
60,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
61,Weekend,태연 (TAEYEON),Weekend
62,INVU,태연 (TAEYEON),INVU - The 3rd Album
63,인생찬가,임영웅,IM HERO
64,Next Level,aespa,Next Level
65,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
66,Bad Habits,Ed Sheeran,=
67,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
68,고백,멜로망스 (MeloMance),세 번째 '고백'
69,너를 생각해,주시크 (Joosiq),너를 생각해
70,Butter,방탄소년단,Butter
71,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
72,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
73,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
74,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE
75,사랑이야,케이시 (Kassy),사랑이야
76,My Universe,Coldplay & 방탄소년단,My Universe
77,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
78,strawberry moon,아이유 (IU),strawberry moon
79,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You)
80,_WORLD,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album Repackage 'SECTOR 17'
81,ZOOM,제시,ZOOM
82,Permission to Dance,방탄소년단,Butter / Permission to Dance
83,Somebody!,로꼬 & 화사 (Hwa Sa),Somebody
84,없었던 일로,헤이즈 (Heize),Undo
85,Every Second,Mina Okabe,Every Second
86,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
87,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
88,2002,Anne-Marie,Speak Your Mind (Deluxe)
89,abcdefu,GAYLE,abcdefu
90,Celeb,싸이 (Psy),싸다9
91,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
92,문득,BE'O (비오),Bipolar
93,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
94,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
95,있잖아,폴킴,연애플레이리스트2 OST Part.2
96,라일락,아이유 (IU),IU 5th Album 'LILAC'
97,헤픈 우연,헤이즈 (Heize),HAPPEN
98,호랑수월가,탑현,호랑수월가
99,At My Worst,Pink Sweat$,The Prelude
100,빛이 나는 사람,김호중,빛이 나는 사람
101,그 하루 (Feat. 반하나),주호,그 하루
102,"스물다섯, 스물하나",자우림,"Goodbye, grief."
103,주마등,김호중,PANORAMA
104,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
105,Off My Face,Justin Bieber,Justice
106,고백하는 취한밤에 (Prod. by 2soo),임재현,고백하는 취한밤에
107,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
108,약속 (約束),김호중,PANORAMA
109,I Ain't Worried,OneRepublic,I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')
110,Sparkling,청하,Bare&Rare Pt.1
111,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
112,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
113,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
114,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
115,미친 것처럼,V.O.S,아픔을 말하는
116,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
117,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
118,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
119,드라마,아이유 (IU),조각집
120,Blueming,아이유 (IU),Love poem
121,서랍,10CM,그 해 우리는 OST Part.1
122,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
123,여행,볼빨간사춘기,Red Diary Page.2
124,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
125,괴짜 (Freak),지코 (ZICO),Grown Ass Kid
126,Bad,Christopher,Under the Surface
127,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
128,12 : 45 (Stripped),etham,12 : 45 (Stripped)
129,Way Back Home,숀 (SHAUN),Take
130,Hurt,NewJeans,NewJeans 1st EP 'New Jeans'
131,Savage,aespa,Savage - The 1st Mini Album
132,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
133,사랑이 불어오나 봐,펀치 (Punch),사랑이 불어오나 봐
134,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
135,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
136,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
137,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
138,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
139,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은
140,Oye Como Va,김호중,PANORAMA
141,친구,김호중,PANORAMA
142,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
143,봄날,방탄소년단,YOU NEVER WALK ALONE
144,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
145,Love in Portofino,김호중,PANORAMA
146,BEAUTIFUL MONSTER,STAYC (스테이씨),WE NEED LOVE
147,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),딘딘 (DINDIN),이러면 안 될 거 아는데 너 앞에만 서면 나락
148,어제처럼,폴킴,어제처럼
149,Memories,Maroon 5,Memories
150,With you,지민 & 하성운,우리들의 블루스 OST Part 4
151,METEOR,창모 (CHANGMO),Boyhood
152,노래해요 (Duet With 최백호),김호중,PANORAMA
153,Darl＋ing,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
154,봄 to 러브,10CM,우리들의 블루스 OST Part 3
155,주저하는 연인들을 위해,잔나비,전설
156,사랑한다고 말해줘,탑현,사랑한다고 말해줘
157,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
158,감동이야 (Feat. 성시경),싸이 (Psy),싸다9
159,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
160,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
161,Dance Monkey,Tones And I,The Kids Are Coming
162,Shape Of You,Ed Sheeran,÷ (Deluxe)
163,Lovesick Girls,BLACKPINK,THE ALBUM
164,눈이 오잖아 (Feat. 헤이즈),이무진,눈이 오잖아
165,parachute,John K,love ＋ everything else
166,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
167,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
168,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
169,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
170,Adoro,김호중,PANORAMA
171,Light Switch,Charlie Puth,That's Hilarious
172,어마어마해,WSG워너비,WSG워너비 12
173,Bad Decisions,Benny Blanco & 방탄소년단 & Snoop Dogg,Bad Decisions
174,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
175,Say Yes,로꼬 & 펀치 (Punch),달의 연인 - 보보경심 려 OST Part 2 (SBS 월화드라마)
176,나를 잊지 말아요 (웹툰 '연애의 발견' X 길구봉구),길구봉구,나를 잊지 말아요 (웹툰 '연애의 발견' X 길구봉구)
177,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
178,Because Of You,Ne-Yo,Because Of You
179,나비 (Outro),김호중,PANORAMA
180,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
181,Tiritomba,김호중,PANORAMA
182,가을꽃,김호중,PANORAMA
183,Summer (Feat. BE'O (비오)),Paul Blanco,Summer
184,모든 순간을 기억할게,봉훈,모든 순간을 기억할게
185,Timeless,SG워너비,Wanna Be＋
186,상상더하기,라붐 (LABOUM),Fresh Adventure
187,아무노래,지코 (ZICO),아무노래
188,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
189,Stay This Way,프로미스나인,from our Memento Box
190,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
191,나는 트로트가 싫어요,임창정,별거 없던 그 하루로
192,그리움의 계절,김호중,PANORAMA
193,Seoul,볼빨간사춘기,Seoul
194,엉덩이가 큰 그녀 (Feat. The Quiett),릴러말즈 (Leellamarz) & TOIL,TOYSTORY3
195,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
196,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
197,밤편지,아이유 (IU),밤편지
198,CHEERS,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album Repackage 'SECTOR 17'
199,선물,멜로망스 (MeloMance),Moonlight
200,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance),그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
